RSS,Region,Nom_etablissement,Nom_installation,No_permis_installation,Nombre_de_civieres_fonctionnelles,Nombre_de_civieres_occupees,Nombre_de_patients_sur_civiere_plus_de_24_heures,Nombre_de_patients_sur_civiere_plus_de_48_heures,Nombre_total_de_patients_presents_a_lurgence,Nombre_total_de_patients_en_attente_de_PEC,DMS_sur_civiere,DMS_ambulatoire,DMS_sur_civiere_horaire,DMS_ambulatoire_horaire,heure_extraction,Mise_a_jour,collecte_utc
04,Mauricie et Centre-du-Québec,SANTÉ QUÉBEC MAURICIE-ET-CENTRE-DU-QUÉBEC - UNIVERSITAIRE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DU HAUT-SAINT-MAURICE,51219731,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,pas d'information disponible,,,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
12,Chaudière-Appalaches,SANTÉ QUÉBEC CHAUDIÈRE-APPALACHES,CHSLD ET HÔPITAL PAUL-GILBERT,51245199,0,0,0,0,22,13,4.3,3.64,4:18,3:38,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
06,Montréal,SANTÉ QUÉBEC - CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE,CHU SAINTE-JUSTINE,51222800,16,17,0,0,60,26,9.19,6.71,9:11,6:42,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
05,Estrie,SANTÉ QUÉBEC ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CHUS - HÔPITAL FLEURIMONT,51216687,36,23,1,0,62,32,12.49,7.31,12:29,7:18,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
05,Estrie,SANTÉ QUÉBEC ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CHUS - HÔTEL-DIEU DE SHERBROOKE,51216695,44,53,21,12,78,29,21.07,5.92,21:04,5:55,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
01,Bas-Saint-Laurent,SANTÉ QUÉBEC BAS-SAINT-LAURENT,CLSC DE POHÉNÉGAMOOK,51219418,3,1,0,0,4,2,5.77,1.56,5:46,1:33,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
07,Outaouais,SANTÉ QUÉBEC OUTAOUAIS,CLSC ET CENTRE D'HÉBERGEMENT DE LA PETITE-NATION,51219491,2,1,0,0,20,7,3.28,3,3:16,3:00,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
11,Gaspésie-Îles-de-la-Madeleine,SANTÉ QUÉBEC GASPÉSIE,CLSC ET CENTRE DE SERVICES AMBULATOIRES DE MURDOCHVILLE,51221307,2,0,0,0,0,0,0,3.32,0:00,3:19,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
11,Gaspésie-Îles-de-la-Madeleine,SANTÉ QUÉBEC GASPÉSIE,CLSC ET CENTRE DE SERVICES AMBULATOIRES DE PASPÉBIAC,51220978,4,1,1,0,2,1,5.57,3.4,5:34,3:24,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
09,Côte-Nord,SANTÉ QUÉBEC CÔTE-NORD,CLSC ET HÔPITAL LE ROYER,51228765,10,15,2,0,35,16,10.73,4.03,10:43,4:01,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
99,Ensemble du Québec,Ensemble du Québec,Ensemble du Québec,,1795,2011,571,194,4213,1633,17.5005778223112,4.80591639393037,17:30,4:48,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
16,Montérégie,SANTÉ QUÉBEC MONTÉRÉGIE-OUEST,HÔPITAL ANNA-LABERGE,51229151,32,39,17,4,74,31,25.02,7.08,25:01,7:04,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
16,Montérégie,SANTÉ QUÉBEC MONTÉRÉGIE-OUEST,HÔPITAL BARRIE MEMORIAL / BARRIE MEMORIAL HOSPITAL,51228005,5,7,1,0,34,22,8.8,2.68,8:48,2:40,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
05,Estrie,SANTÉ QUÉBEC ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,HÔPITAL BROME-MISSISQUOI-PERKINS,51229185,16,16,1,0,28,7,9.97,5.69,9:58,5:41,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
16,Montérégie,SANTÉ QUÉBEC MONTÉRÉGIE-CENTRE,HÔPITAL CHARLES-LE MOYNE,51233799,43,44,11,4,115,59,21.96,5.98,21:57,5:58,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
02,Saguenay-Lac-Saint-Jean,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,HÔPITAL D'ALMA,51219400,17,7,0,0,32,15,6.39,3.45,6:23,3:27,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
08,Abitibi-Témiscamingue,SANTÉ QUÉBEC ABITIBI-TÉMISCAMINGUE,HÔPITAL D'AMOS,51228906,7,9,0,0,15,4,11.14,2.41,11:08,2:24,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
01,Bas-Saint-Laurent,SANTÉ QUÉBEC BAS-SAINT-LAURENT,HÔPITAL D'AMQUI,51226892,6,1,0,0,6,1,8.92,5.52,8:55,5:31,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
11,Gaspésie-Îles-de-la-Madeleine,SANTÉ QUÉBEC GASPÉSIE,HÔPITAL DE CHANDLER,51227775,8,7,0,0,21,8,19.94,2.59,19:56,2:35,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
02,Saguenay-Lac-Saint-Jean,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,HÔPITAL DE CHICOUTIMI,51218394,41,25,1,0,46,19,10.48,4.86,10:28,4:51,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
02,Saguenay-Lac-Saint-Jean,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,HÔPITAL DE DOLBEAU-MISTASSINI,51219384,10,6,0,0,17,4,15.62,2.9,15:37,2:54,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
11,Gaspésie-Îles-de-la-Madeleine,SANTÉ QUÉBEC GASPÉSIE,HÔPITAL DE GASPÉ,51220903,6,7,3,1,12,3,45.29,6.01,45:17,6:00,19:00:00,2026-09-22T19:45,2026-09-23T00:23:21Z
